epoch,train_loss,validation_loss,train_auprc,validation_auprc,train_roc_auc,validation_roc_auc,train_balanced_accuracy,validation_balanced_accuracy
1,0.638843069205413,0.6615766684214274,0.5356817073047002,0.1451353800651004,0.886477212314533,0.5785207700101318,0.5368421052631579,0.5
2,0.3891925811767578,0.7999152143796285,0.6890844398173962,0.29551134349521446,0.9561693489923155,0.6555217831813577,0.8973225073703542,0.6859169199594731
3,0.21358962618821375,1.1933463017145793,0.8106727166815892,0.358335646780512,0.9815233676477695,0.6737588652482269,0.9442317916002126,0.7608915906788247
4,0.13056471299480749,1.7042956749598186,0.8617822258382989,0.3091855204664591,0.9905417814508723,0.6595744680851063,0.964892948625006,0.7750759878419453
5,0.09918791830942437,2.2237360080083213,0.9078527268959508,0.1932270226857128,0.9929292929292929,0.6352583586626139,0.9788797061524335,0.4929078014184397
6,0.10272297016470819,2.4012873570124307,0.894319041915048,0.23542053184910328,0.9925233193175778,0.6403242147922998,0.9788797061524335,0.560790273556231
7,0.07385784573853016,3.1418516635894775,0.9041974156188397,0.18190839587834562,0.9935865835387366,0.6180344478216818,0.9866850321395776,0.49645390070921985
8,0.08733091750056357,2.7869277397791543,0.9156800048120746,0.16610471917891348,0.9940215552655743,0.6048632218844985,0.9797979797979798,0.5466058763931104
9,0.07660939725669655,3.1942421595255532,0.919554522697426,0.20701421470239634,0.994727176066889,0.6271529888551165,0.9827992847131604,0.49645390070921985
10,0.07191362058290758,3.0572776794433594,0.9430865262233776,0.19228434320436635,0.9954907930984485,0.6281661600810537,0.985307621671258,0.5536980749746707
11,0.05979388866674255,3.2909801403681436,0.9605964926372483,0.1928947181617898,0.9965637233579817,0.6210739614994935,0.9862258953168044,0.5678824721377913
12,0.06256050007367456,3.5247855981191,0.9665425157107408,0.19994005377855398,0.997018027161568,0.6231003039513678,0.985307621671258,0.5643363728470111
13,0.049702445633482896,3.973142623901367,0.9692433184504736,0.19871064925412749,0.9972306800057996,0.6231003039513677,0.9880624426078972,0.5678824721377913
14,0.05483380692532739,3.8728580872217813,0.9663137461284661,0.2646518151971397,0.9969600309313228,0.6210739614994935,0.9876033057851239,0.5678824721377913
15,0.050149377448031225,4.223750352859497,0.9657550452828025,0.19592506519322367,0.9969600309313227,0.6220871327254306,0.9876033057851239,0.5678824721377913
16,0.05903447597488962,3.886035958925883,0.9505324432767899,0.2375002348449835,0.9963220723986274,0.6180344478216818,0.9866850321395776,0.5430597771023303
17,0.0589043792475619,4.136078476905823,0.944791674669269,0.23907338128850258,0.9960804214392731,0.6170212765957447,0.9871441689623508,0.5430597771023303
18,0.05069222413884426,4.5296839872996015,0.9511358368928301,0.2383843355711956,0.9963607365521241,0.6180344478216818,0.9876033057851239,0.5643363728470111
19,0.05054048615243487,4.350175182024638,0.9607201186131071,0.27621369187798517,0.9966700497800977,0.6372847011144883,0.9880624426078972,0.5643363728470111
20,0.04829339320280564,4.535568952560425,0.96600375318373,0.2631935270082268,0.9969793630080712,0.6322188449848024,0.9885215794306703,0.5643363728470111
21,0.044191717981939785,4.981897672017415,0.9690303255789672,0.18465410759613932,0.9972403460441739,0.6261398176291794,0.9894398530762167,0.5678824721377913
22,0.04116331482136219,5.1947182814280195,0.9706679573909123,0.2571502899974682,0.9973756705814123,0.6301925025329281,0.9894398530762167,0.5678824721377913
23,0.042587282570280334,5.441601276397705,0.971904767471774,0.2618032329988852,0.997472330965154,0.6342451874366768,0.9894398530762167,0.5678824721377913
24,0.05011272439859002,4.750382661819458,0.9697971860641812,0.2785137851765986,0.9972403460441739,0.6372847011144883,0.9871441689623508,0.560790273556231
25,0.045977066362251504,5.1544482707977295,0.9682039426416176,0.26026991441737984,0.9971630177371804,0.6251266464032421,0.9880624426078972,0.5678824721377913
26,0.04471727755436724,5.1552205085754395,0.9679377251984661,0.25905017353686705,0.9971146875453096,0.6332320162107395,0.9880624426078972,0.560790273556231
27,0.04620843630589268,5.100503047307332,0.9707073415534702,0.2631325802303373,0.9973756705814123,0.6322188449848024,0.9880624426078972,0.560790273556231
28,0.047073845040506206,5.179152488708496,0.9706062762474279,0.2434167191177993,0.9973370064279156,0.6312056737588652,0.9880624426078972,0.560790273556231
29,0.04127540925951876,5.641529719034831,0.9714429334953077,0.2473289691914391,0.9974529988884057,0.6261398176291793,0.9889807162534435,0.5678824721377913
30,0.04238455362477957,5.728480418523152,0.971998062316485,0.2546618883736773,0.9974916630419024,0.6261398176291794,0.9885215794306703,0.5678824721377913
