epoch,train_loss,validation_loss,train_auprc,validation_auprc,train_roc_auc,validation_roc_auc,train_balanced_accuracy,validation_balanced_accuracy
1,0.6811807155609131,0.6589285532633463,0.15307668544866823,0.2537465766023979,0.6853946160166255,0.7213779128672746,0.5,0.5
2,0.6672591051539859,0.6576046943664551,0.16243775744453487,0.24571536092313742,0.701121260451404,0.6960486322188449,0.5411193272437291,0.5536980749746707
3,0.6406620193172146,0.6489742596944174,0.21280502286200462,0.19269609546981809,0.7612246870620077,0.7679837892603849,0.6389686337054759,0.6180344478216819
4,0.6203401233698871,0.6099373896916708,0.2243566662641136,0.21820408163265304,0.7855444396114253,0.7963525835866262,0.5996858537528393,0.560790273556231
5,0.5787306508502444,0.5963439345359802,0.2730642790387764,0.3106986082453372,0.8272920593494757,0.8480243161094224,0.7027306558407036,0.8181357649442755
6,0.5237359219306225,0.5528274675210317,0.28180496618783973,0.33999895450883444,0.8461311681407375,0.8733535967578521,0.7196510560146924,0.8110435663627154
7,0.5081807536047858,0.5978586673736572,0.33970865135621936,0.39647166558931257,0.8697839640423373,0.8926038500506586,0.7838818810110676,0.7087132725430598
8,0.49783583831142736,0.6082902352015177,0.3235220816589987,0.39534275248560957,0.8701996036924267,0.8895643363728469,0.776501860712387,0.7193515704154001
9,0.4436502891617852,0.4999288519223531,0.32723271819331184,0.35155122655122656,0.8770334928229665,0.8976697061803445,0.7992702141027499,0.8718338399189463
10,0.42761051574268855,0.5277864038944244,0.35586887803525474,0.35941539225232444,0.8876854671113045,0.8905775075987842,0.8298632255570055,0.8257345491388044
11,0.4255704960307559,0.4890717764695485,0.32974090670981315,0.34843864348970394,0.8826397950799866,0.8976697061803445,0.8223382146827123,0.8505572441742655
12,0.4314615074041727,0.557176947593689,0.35980594769338015,0.40194394213381557,0.8934174278671887,0.8996960486322189,0.818283311584747,0.7548125633232017
13,0.39880514869818817,0.5135498742262522,0.3774276952390716,0.40453272217978103,0.8977188149436953,0.9017223910840931,0.8390121308781595,0.8257345491388044
14,0.4009608598174276,0.5088970363140106,0.3688450930812124,0.38580746738641475,0.8986467546276158,0.8936170212765958,0.8399980667923251,0.8470111448834853
15,0.38414963193841883,0.5277303953965505,0.3775528364079811,0.37887667887667886,0.9006862887245662,0.8946301925025328,0.8386206563240056,0.8541033434650456
16,0.3814076902093114,0.495618333419164,0.42800865492326495,0.3889427565898154,0.9076651684307186,0.9027355623100304,0.8468174568653037,0.8115501519756838
17,0.3830925624918293,0.5434765915075938,0.4083930698283514,0.4022727272727273,0.9047460248417186,0.9017223910840931,0.8566381518534629,0.8328267477203647
18,0.40766318021593867,0.5181449800729752,0.4203363292399826,0.42921108742004266,0.9063795853269538,0.9108409321175279,0.7833357498429269,0.8110435663627154
19,0.3613671998719911,0.4856392741203308,0.44470631185088383,0.4001799370220423,0.9116185781257551,0.9118541033434651,0.8493596249577111,0.8292806484295846
20,0.3746681579866925,0.5205805798371633,0.4275926141635272,0.4021340042866461,0.9098303610265334,0.9027355623100304,0.8418684452177275,0.8611955420466059
21,0.3637260561053817,0.5350745320320129,0.452003202969337,0.4087516087516087,0.914354066985646,0.9047619047619047,0.854342467739597,0.8009118541033434
22,0.35166637398101186,0.4998554090658824,0.4723597158297919,0.3975668676561534,0.9171475520757817,0.9047619047619047,0.8561790150306896,0.8080040526849037
23,0.3577418484397837,0.5210185050964355,0.5023947513784568,0.38080808080808076,0.9231114977526461,0.8966565349544072,0.8520129524914213,0.786727456940223
24,0.3391319283762494,0.5033163626988729,0.4921475133348536,0.3818528693528694,0.9236044657097289,0.8986828774062817,0.8630660673722874,0.8080040526849037
25,0.3502349450781539,0.4949447413285573,0.5104861527386677,0.4029344409666856,0.9257793243439176,0.8976697061803445,0.8625730994152047,0.7938196555217831
26,0.3300612878960532,0.5175683895746866,0.5220895007050971,0.4197296759783374,0.9279928471316031,0.9017223910840932,0.8676236044657097,0.786727456940223
27,0.3506568940104665,0.5052108764648438,0.5277076740958758,0.40798965965430856,0.9283408245130732,0.9047619047619048,0.8593591416557924,0.7796352583586625
28,0.3226357867588868,0.5130098462104797,0.5274481169995551,0.4053869341028018,0.930399690686772,0.8976697061803445,0.8660673722874679,0.8115501519756838
29,0.32186892225935654,0.5099659264087677,0.5380056920624587,0.44407400228295746,0.933202841815282,0.899696048632219,0.8768063409211735,0.790273556231003
30,0.3502425217145198,0.5327373445034027,0.5599904806651332,0.3586968586968587,0.9338987965782224,0.8966565349544073,0.8538156686482046,0.765450861195542
