epoch,train_loss,validation_loss,train_auprc,validation_auprc,train_roc_auc,validation_roc_auc,train_balanced_accuracy,validation_balanced_accuracy
1,0.47869344095926025,0.5251897871494293,0.5460780496906708,0.8239348370927317,0.9390846261659658,0.9655521783181358,0.8680827412884828,0.8829787234042553
2,0.27956587760835083,0.3610180343190829,0.6507886120544608,0.8865546218487395,0.9544729592576482,0.9726443768996961,0.8885312454690446,0.8434650455927051
3,0.22104976306090485,0.3419317776958148,0.8279353046360767,0.8874458874458873,0.9732540718186651,0.9736575481256332,0.9148470349427287,0.8541033434650456
4,0.18738378523974805,0.3286532759666443,0.8589186556189682,0.8874458874458873,0.980484268522546,0.9736575481256332,0.9028321492436324,0.8895643363728469
5,0.18127023448815216,0.32130793668329716,0.8761732307976675,0.8916256157635467,0.9833647479580493,0.977710233029382,0.9194384031704605,0.8576494427558257
6,0.16419330642030044,0.30435629189014435,0.8950481676016664,0.8988095238095237,0.9866995311971389,0.9827760891590679,0.92691991687207,0.9002026342451874
7,0.2235959633379369,0.3607840010275443,0.8538831853517126,0.889400921658986,0.9824851384659997,0.9756838905775076,0.9104683195592287,0.8576494427558257
8,0.14911291224730983,0.28731016131738824,0.9024356276236445,0.8988095238095237,0.9883524237591224,0.9827760891590679,0.9364941278816876,0.8895643363728469
9,0.13185066160922115,0.2937450632452965,0.9109511962043533,0.8988095238095237,0.9895220144023972,0.9827760891590679,0.940379875308105,0.8895643363728469
10,0.12329231791600988,0.298610166956981,0.9232500323854421,0.9006211180124222,0.9904209559711952,0.9837892603850051,0.9376588855057755,0.8966565349544073
11,0.12449879360360068,0.2846806915476918,0.9275443993600524,0.9006211180124222,0.9907206031607946,0.9837892603850051,0.9376250543714659,0.8895643363728469
12,0.12414610379602055,0.3011344640205304,0.9249729034697034,0.897142857142857,0.9908945918515297,0.9817629179331308,0.9415108017978832,0.8895643363728469
13,0.11811143049114459,0.314908335916698,0.9265424517338239,0.8956043956043955,0.9911265767725098,0.9807497467071935,0.9385433280170122,0.8931104356636271
14,0.11500041166672835,0.3532424097259839,0.9247112772878181,0.8956043956043955,0.9908752597747813,0.9807497467071935,0.9413319800879609,0.8966565349544073
15,0.1465990108916083,0.298814269558837,0.9369311591459922,0.9006211180124222,0.9920158523029337,0.9837892603850051,0.9412304866850321,0.8753799392097263
16,0.1194244921207428,0.2793975160457194,0.9441158063345474,0.9025974025974024,0.9929051278333575,0.9848024316109422,0.9492822966507177,0.8895643363728469
17,0.10922809622275668,0.3092705658636987,0.9458338376866617,0.9025974025974024,0.9930694504857185,0.9848024316109422,0.946102170025615,0.8931104356636271
18,0.10906793056307612,0.3190071498975158,0.9537897621380236,0.907142857142857,0.9938330675172781,0.9868287740628165,0.9482190324295587,0.9108409321175278
19,0.10430027456400362,0.3137996119136612,0.9526362954275623,0.9025974025974024,0.9938040694021555,0.9848024316109422,0.9506935382533468,0.8966565349544073
20,0.09947771730052458,0.29570903442800045,0.9582536373026905,0.907142857142857,0.9944130298197283,0.9868287740628165,0.9502344014305737,0.8931104356636271
21,0.10363149909755669,0.3596985914433996,0.9596282597980084,0.9025974025974024,0.994674012855831,0.9848024316109422,0.9516794741675124,0.9179331306990881
22,0.09549886302871478,0.3621305314203103,0.9540847921918465,0.9025974025974024,0.9941907109371224,0.9848024316109422,0.9489246532308733,0.914387031408308
23,0.0948786711118914,0.347569708712399,0.9592077483552645,0.9025974025974024,0.994722343047702,0.9848024316109422,0.9525977478130588,0.9108409321175278
24,0.09347469344533779,0.3344187966237466,0.9600625575402875,0.907142857142857,0.9947513411628243,0.9868287740628165,0.9518921270117442,0.9108409321175278
25,0.09150404103628888,0.30837183399125934,0.9592872245848785,0.9047619047619047,0.9946546807790827,0.9858156028368794,0.9436276642018269,0.9072948328267477
26,0.08908824383507709,0.3118066027139624,0.9605974570668661,0.9047619047619047,0.9947900053163212,0.9858156028368794,0.948678169252332,0.9108409321175278
27,0.10320739159863945,0.28781692575042445,0.9589871007864169,0.9025974025974024,0.9948190034314436,0.9848024316109422,0.9540863177226814,0.8895643363728469
28,0.08764420732906139,0.3378667648260792,0.9613593442206213,0.9025974025974024,0.9950799864675464,0.9848024316109422,0.9505147165434247,0.9108409321175278
29,0.08354574535042048,0.31100143228347105,0.9660553408899717,0.8843537414965985,0.9957856072688608,0.9848024316109423,0.953728674302837,0.9108409321175278
30,0.08262646314058755,0.35645052045583725,0.9653654754449091,0.9025974025974024,0.9954666280025132,0.9848024316109422,0.9491373060751052,0.9072948328267477
